F.G.Perey et al, Rept: Oak Ridge National Lab. Reports, No.4823 (1972)
NatO(n,tot)
MeV          Barns       Error (Barns)   
0.25583      3.57        0.287       
0.25598      3.242       0.256       
0.25613      3.672       0.264       
0.25628      2.685       0.252       
0.25644      3.317       0.269       
0.25659      2.91        0.261       
0.25674      2.805       0.276       
0.25689      3.314       0.276       
0.25704      3.16        0.276       
0.2572       3.087       0.296       
0.25735      3.439       0.286       
0.2575       3.364       0.31        
0.25765      3.152       0.296       
0.25781      3.066       0.289       
0.25796      3.164       0.279       
0.25811      2.978       0.267       
0.25827      3.169       0.263       
0.25842      3.233       0.265       
0.25857      3.239       0.267       
0.25873      3.276       0.258       
0.25888      3.426       0.261       
0.25904      3.266       0.241       
0.25919      2.85        0.233       
0.25934      2.93        0.233       
0.2595       3.09        0.258       
0.25965      3.648       0.305       
0.25981      3.058       0.267       
0.25996      2.932       0.259       
0.26012      2.931       0.249       
0.26027      3.384       0.279       
0.26043      3.424       0.252       
0.26058      3.648       0.283       
0.26074      2.912       0.242       
0.26089      3.153       0.26        
0.26105      3.067       0.256       
0.26121      3.247       0.262       
0.26136      3.059       0.258       
0.26152      3.069       0.248       
0.26167      2.942       0.254       
0.26183      3.149       0.257       
0.26199      3.511       0.269       
0.26214      3.546       0.276       
0.2623       2.859       0.249       
0.26246      3.671       0.267       
0.26262      3.163       0.26        
0.26277      3.593       0.283       
0.26293      3.299       0.267       
0.26309      3.542       0.28        
0.26325      2.772       0.271       
0.2634       3.309       0.267       
0.26356      3.281       0.253       
0.26372      3.036       0.236       
0.26388      3.439       0.238       
0.26404      3.181       0.249       
0.2642       3.141       0.247       
0.26435      3.161       0.247       
0.26451      3.336       0.269       
0.26467      3.269       0.258       
0.26483      2.923       0.244       
0.26499      3.263       0.289       
0.26515      3.211       0.268       
0.26531      3.489       0.285       
0.26547      3.084       0.262       
0.26563      2.803       0.245       
0.26579      3.416       0.278       
0.26595      3.082       0.293       
0.26611      3.344       0.28        
0.26627      3.575       0.284       
0.26643      3.738       0.298       
0.26659      3.657       0.305       
0.26675      3.126       0.256       
0.26691      3.29        0.263       
0.26708      3.446       0.267       
0.26724      3.437       0.264       
0.2674       3.05        0.248       
0.26756      3.437       0.286       
0.26772      3.193       0.26        
0.26788      2.848       0.236       
0.26805      3.55        0.279       
0.26821      3.609       0.287       
0.26837      2.92        0.265       
0.26853      3.651       0.294       
0.2687       3.155       0.245       
0.26886      3.304       0.242       
0.26902      3.41        0.24        
0.26919      3.397       0.22        
0.26935      3.494       0.239       
0.26951      3.416       0.225       
0.26968      3.182       0.216       
0.26984      3.168       0.227       
0.27         3.39        0.218       
0.27017      3.294       0.231       
0.27033      3.436       0.235       
0.2705       3.332       0.224       
0.27066      3.77        0.269       
0.27083      3.134       0.224       
0.27099      2.954       0.227       
0.27115      3.264       0.234       
0.27132      3.23        0.229       
0.27149      2.868       0.216       
0.27165      2.905       0.219       
0.27182      3.026       0.225       
0.27198      3.288       0.232       
0.27215      2.903       0.23        
0.27231      3.38        0.248       
0.27248      3.193       0.246       
0.27265      3.248       0.234       
0.27281      3.363       0.248       
0.27298      3.661       0.237       
0.27315      3.363       0.239       
0.27331      3.058       0.22        
0.27348      3.816       0.253       
0.27365      3.479       0.216       
0.27381      3.313       0.237       
0.27398      3.4         0.268       
0.27415      3.206       0.244       
0.27432      3.693       0.27        
0.27449      3.302       0.258       
0.27465      3.113       0.247       
0.27482      3.551       0.243       
0.27499      2.901       0.235       
0.27516      3.58        0.253       
0.27533      3.386       0.239       
0.2755       3.573       0.258       
0.27567      3.378       0.231       
0.27584      3.162       0.231       
0.276        3.539       0.251       
0.27617      3.235       0.245       
0.27634      3.557       0.234       
