Literature data from R.W.Finlay et al (1993) (>5.29 MeV) and Perey et al (1972) (<5.29 MeV)
NatO(n,tot) 
MeV          Barns       Error (Barns)
3.34209      3.295       0.055       
3.34926      3.217       0.056       
3.35646      3.237       0.055       
3.36367      3.099       0.053       
3.37091      3.248       0.057       
3.37817      3.142       0.056       
3.38546      3.163       0.055       
3.39277      3.191       0.055       
3.4001       3.062       0.053       
3.40746      3.156       0.055       
3.41484      3.102       0.055       
3.42225      3.096       0.057       
3.42968      3.322       0.061       
3.43713      3.277       0.057       
3.44461      3.334       0.057       
3.45211      3.142       0.055       
3.45964      3.068       0.053       
3.46719      2.99        0.053       
3.47477      3.          0.052       
3.48237      3.092       0.053       
3.49         3.055       0.053       
3.49765      3.089       0.055       
3.50533      3.106       0.057       
3.51303      2.963       0.053       
3.52076      3.058       0.053       
3.52851      3.063       0.055       
3.53629      3.066       0.055       
3.5441       3.121       0.055       
3.55193      3.16        0.055       
3.55978      3.108       0.053       
3.56767      3.051       0.053       
3.57558      3.128       0.055       
3.58351      3.121       0.052       
3.59148      2.988       0.05        
3.59946      3.012       0.05        
3.60748      3.102       0.048       
3.61552      3.058       0.046       
3.62359      2.988       0.046       
3.63169      3.037       0.047       
3.63981      3.141       0.048       
3.64796      3.125       0.048       
3.65614      3.081       0.047       
3.66435      3.107       0.048       
3.67258      3.064       0.048       
3.68084      3.124       0.048       
3.68913      3.053       0.048       
3.69745      3.008       0.05        
3.7058       3.056       0.05        
3.71417      3.082       0.051       
3.72258      3.067       0.051       
3.73101      3.207       0.055       
3.73947      3.212       0.056       
3.74796      3.573       0.065       
3.75647      4.112       0.078       
3.76502      4.298       0.084       
3.7736       3.957       0.077       
3.7822       3.389       0.064       
3.79084      3.064       0.057       
3.7995       2.799       0.052       
3.8082       2.712       0.051       
3.81692      2.657       0.051       
3.82568      2.612       0.05        
3.83446      2.594       0.048       
3.84328      2.453       0.045       
3.85213      2.461       0.045       
3.861        2.375       0.043       
3.86991      2.424       0.043       
3.87885      2.329       0.043       
3.88782      2.353       0.043       
3.89682      2.375       0.045       
3.90585      2.287       0.045       
3.91491      2.283       0.047       
3.92401      2.298       0.049       
3.93314      2.294       0.049       
3.94229      2.194       0.049       
3.95149      2.271       0.049       
3.96071      2.216       0.047       
3.96996      2.151       0.045       
3.97925      2.122       0.045       
3.98857      2.126       0.044       
3.99793      2.045       0.044       
4.00731      1.958       0.043       
4.01673      1.815       0.043       
4.02619      1.635       0.042       
4.03567      1.664       0.042       
4.04519      1.468       0.041       
4.05475      1.381       0.04        
4.06434      1.33        0.038       
4.07396      1.264       0.036       
4.08362      1.228       0.034       
4.09331      1.213       0.034       
4.10303      1.148       0.034       
4.11279      1.241       0.036       
4.12259      1.248       0.036       
4.13242      1.354       0.036       
4.14228      1.493       0.037       
4.15218      1.718       0.038       
4.16212      1.963       0.041       
4.17209      2.124       0.042       
4.1821       2.206       0.043       
4.19215      2.178       0.045       
4.20223      2.134       0.051       
4.21235      1.881       0.05        
4.2225       1.8         0.049       
4.23269      1.779       0.048       
4.24292      1.732       0.046       
4.25318      1.572       0.044       
4.26349      1.449       0.043       
4.27383      1.647       0.046       
4.2842       1.735       0.045       
4.29462      2.115       0.049       
4.30507      2.335       0.052       
4.31557      2.692       0.056       
4.3261       2.905       0.06        
4.33667      2.875       0.061       
4.34728      2.714       0.059       
4.35792      2.526       0.055       
4.36861      2.324       0.05        
4.37934      2.226       0.047       
4.3901       2.068       0.045       
4.40091      2.032       0.046       
4.41175      1.89        0.046       
4.42264      1.928       0.046       
4.43356      1.903       0.045       
4.44453      1.737       0.044       
4.45554      1.512       0.042       
4.46659      1.518       0.042       
4.47768      1.392       0.041       
4.48881      1.323       0.042       
4.49998      1.439       0.043       
4.5112       1.469       0.044       
4.52245      1.556       0.046       
4.53375      1.57        0.044       
4.5451       1.548       0.042       
4.55648      1.364       0.04        
4.56791      1.351       0.038       
4.57938      1.338       0.038       
4.59089      1.329       0.038       
4.60245      1.444       0.04        
4.61405      1.35        0.041       
4.6257       1.38        0.042       
4.63739      1.257       0.042       
4.64912      1.244       0.042       
4.6609       1.066       0.041       
4.67272      1.039       0.038       
4.68459      1.045       0.039       
4.69651      1.019       0.039       
4.70847      0.935       0.038       
4.72047      0.951       0.038       
4.73252      0.968       0.039       
4.74462      0.949       0.041       
4.75677      0.966       0.043       
