Literature data from R. B. Schwartz (1973)
Natural Ni (n,tot)
MeV       Barns     Error(Barns)
1.421     3.065     0.04369
1.423     3.243     0.04619
1.424     3.236     0.04606
1.425     3.295     0.04732
1.426     3.369     0.04891
1.427     3.419     0.05051
1.428     3.426     0.05282
1.430     3.450     0.05199
1.431     3.417     0.05173
1.432     3.350     0.05130
1.433     3.394     0.05444
1.434     3.595     0.05817
1.436     3.671     0.05939
1.437     3.589     0.05965
1.438     3.365     0.05271
1.439     3.108     0.04932
1.440     2.994     0.04746
1.442     2.972     0.04590
1.443     2.940     0.04561
1.444     2.877     0.04256
1.445     2.815     0.04243
1.446     2.788     0.04149
1.448     2.750     0.04083
1.449     2.899     0.04367
1.450     2.970     0.04529
1.451     3.081     0.04639
1.452     3.257     0.04890
1.454     3.204     0.05016
1.455     3.279     0.05039
1.456     3.228     0.04826
1.457     3.181     0.04807
1.458     3.239     0.04716
1.460     3.232     0.04794
1.461     3.364     0.05032
1.462     3.421     0.05222
1.463     3.648     0.05517
1.465     3.657     0.05579
1.466     3.740     0.05754
1.467     3.709     0.05678
1.468     3.814     0.05771
1.470     3.807     0.05854
1.471     3.679     0.05771
1.472     3.698     0.05629
1.473     3.647     0.05632
1.475     3.500     0.05305
1.476     3.343     0.04890
1.477     3.233     0.04763
1.478     3.224     0.04611
1.479     3.104     0.04532
1.481     3.052     0.04319
1.482     3.155     0.04520
1.483     3.210     0.04681
1.484     3.256     0.04775
1.486     3.197     0.04698
1.487     3.072     0.04501
1.488     3.134     0.04468
1.490     3.042     0.04362
1.491     3.132     0.04504
1.492     3.115     0.04394
1.493     3.221     0.04628
1.494     3.210     0.04681
1.496     3.284     0.04747
1.497     3.282     0.04801
1.498     3.289     0.04929
1.500     3.544     0.05311
1.501     3.575     0.05356
1.502     3.612     0.05361
1.503     3.579     0.05472
1.505     3.604     0.05451
1.506     3.508     0.05191
1.507     3.221     0.04767
1.508     2.997     0.03720
1.510     2.886     0.04039
1.511     2.823     0.04055
1.512     2.649     0.03842
1.514     2.651     0.03802
1.515     2.672     0.03782
1.516     2.925     0.04211
1.517     3.067     0.04734
1.519     3.170     0.04741
1.520     3.296     0.05186
1.521     3.249     0.05067
1.523     3.263     0.04898
1.524     3.188     0.04945
1.525     2.925     0.04426
1.527     2.959     0.04300
1.528     2.881     0.04154
1.529     2.822     0.04146
1.531     2.758     0.04048
1.532     2.847     0.04112
1.533     2.863     0.03788
1.535     3.062     0.04571
1.536     2.884     0.04349
1.537     2.877     0.04273
1.538     2.798     0.04208
1.540     2.761     0.04155
1.541     2.703     0.04168
1.542     2.703     0.04199
1.544     2.834     0.04256
1.545     2.812     0.04154
1.546     2.881     0.04307
1.548     3.132     0.04656
1.549     3.209     0.04727
1.550     3.238     0.04902
1.552     3.129     0.04746
1.553     3.140     0.04425
1.554     2.996     0.04286
1.556     2.880     0.04027
1.557     2.806     0.03951
1.559     2.915     0.04095
1.560     2.928     0.03986
1.561     2.940     0.04072
1.563     3.054     0.04404
1.564     3.319     0.04676
1.565     3.246     0.04679
1.567     3.239     0.04578
1.568     3.115     0.04525
1.569     3.023     0.04201
1.571     3.057     0.04372
1.572     3.125     0.04454
1.573     3.071     0.04455
1.575     2.968     0.04149
1.576     2.942     0.04193
1.578     2.922     0.04128
1.579     2.980     0.04100
1.580     2.980     0.04269
1.582     3.016     0.04356
1.583     3.035     0.04363
1.584     2.992     0.04371
1.586     3.057     0.04345
1.587     2.998     0.04251
1.588     3.002     0.04369
1.590     2.898     0.04112
1.591     2.742     0.03927
1.593     2.660     0.03727
1.594     2.465     0.03389
1.596     2.302     0.03192
1.597     2.294     0.03231
1.598     2.217     0.03088
1.600     2.173     0.03093
1.601     2.206     0.03123
1.603     2.253     0.03273
1.604     2.421     0.03542
1.605     2.583     0.03722
1.607     2.673     0.03880
1.608     2.766     0.03931
1.610     2.959     0.04071
1.611     3.049     0.04300
1.612     3.312     0.04734
1.614     3.641     0.05410
1.615     3.657     0.05541
1.617     3.600     0.05291
1.618     3.567     0.05300
1.619     3.390     0.05008
1.621     3.305     0.04720
1.622     3.324     0.04769
1.624     3.198     0.04550
1.625     3.151     0.04527
1.627     3.058     0.04274
1.628     3.034     0.04190
1.630     2.988     0.04075
1.631     2.902     0.03902
1.632     2.947     0.04068
1.634     2.712     0.03671
1.635     2.681     0.03547
1.637     2.658     0.03489
1.638     2.661     0.03607
1.640     2.626     0.03531
1.641     2.615     0.03490
1.643     2.644     0.03473
1.644     2.623     0.03501
1.646     2.949     0.04559
1.647     2.836     0.03915
1.648     2.799     0.03847
1.650     2.994     0.04236
1.651     3.022     0.04306
1.653     3.034     0.04301
1.654     3.038     0.04298
1.656     3.016     0.04415
1.657     3.034     0.04317
1.659     3.039     0.04232
1.660     3.040     0.04147
1.662     3.114     0.04416
1.663     3.090     0.04420
1.665     3.229     0.04503
1.666     3.399     0.04883
1.668     3.675     0.05419
1.669     3.690     0.05552
1.671     3.715     0.05635
1.672     3.649     0.05481
1.674     3.518     0.04595
1.675     3.439     0.04978
1.677     3.301     0.04761
1.678     3.257     0.04537
1.680     3.165     0.04518
1.681     3.051     0.04118
1.683     2.949     0.04212
1.684     2.875     0.04012
1.686     2.843     0.03964
1.687     2.842     0.03988
1.689     2.927     0.04115
1.690     2.832     0.03918
1.692     2.751     0.03898
1.693     2.707     0.03654
1.695     2.547     0.03525
1.696     2.523     0.03468
1.698     2.567     0.03484
1.699     2.594     0.03520
1.701     2.739     0.03753
1.702     2.925     0.04090
1.704     3.284     0.04888
1.706     3.565     0.05171
1.707     3.856     0.05798
1.709     3.771     0.05881
1.710     3.830     0.05878
1.712     3.629     0.05752
1.713     3.676     0.05772
1.715     3.609     0.05475
1.716     3.527     0.05459
1.718     3.518     0.05381
1.720     3.364     0.05234
1.721     3.235     0.04784
1.723     3.184     0.04808
1.724     2.996     0.04334
1.726     2.899     0.04235
1.727     2.925     0.04227
1.729     2.787     0.04110
1.730     2.850     0.04182
1.732     2.774     0.04051
1.734     2.880     0.04202
1.735     2.878     0.04223
1.737     2.875     0.04073
1.738     2.972     0.04489
1.740     2.945     0.04355
1.742     2.953     0.04543
1.743     2.982     0.04606
1.745     2.998     0.04657
1.746     2.981     0.04491
1.748     2.828     0.04393
1.750     2.846     0.04286
1.751     2.842     0.04266
1.753     2.751     0.04180
1.754     2.823     0.04200
1.756     2.854     0.04219
1.758     2.691     0.03948
1.759     2.658     0.03951
1.761     2.701     0.03866
1.762     2.777     0.03972
1.764     2.767     0.04042
1.766     2.673     0.03851
1.767     2.645     0.03924
1.769     2.599     0.03726
1.771     2.651     0.03790
1.772     2.744     0.03865
1.774     2.869     0.04174
1.775     2.959     0.04306
1.777     2.909     0.04302
1.779     3.058     0.04432
1.780     2.896     0.04245
1.782     2.803     0.04067
1.784     2.747     0.03906
1.785     2.725     0.03774
1.787     2.784     0.03966
1.789     2.785     0.03901
1.790     2.850     0.03951
1.792     2.992     0.04267
1.794     3.173     0.04563
1.795     3.514     0.05225
1.797     3.696     0.05346
1.799     4.024     0.06030
1.800     4.038     0.06219
1.802     3.719     0.04846
1.804     3.887     0.05654
1.805     3.989     0.05814
1.807     3.810     0.05715
1.809     3.731     0.05575
1.810     3.713     0.05307
1.812     3.523     0.05178
1.814     3.510     0.04996
1.815     3.268     0.04506
1.817     3.101     0.04287
1.819     2.910     0.04026
1.821     2.859     0.03811
1.822     2.697     0.03656
1.824     2.674     0.03534
1.826     2.540     0.03498
1.827     2.639     0.03647
1.829     2.601     0.03634
1.831     2.600     0.03561
1.832     2.555     0.03471
1.834     2.569     0.03214
1.836     2.593     0.03603
1.838     2.568     0.03568
1.839     2.632     0.03621
1.841     2.740     0.03795
1.843     2.829     0.03994
1.845     2.877     0.04004
1.846     2.866     0.03994
1.848     2.911     0.04109
1.850     2.998     0.04196
1.852     3.117     0.04398
1.853     2.925     0.04291
1.855     2.914     0.04213
1.857     2.907     0.04248
1.859     2.862     0.04112
1.860     2.750     0.03876
1.862     2.627     0.03759
1.864     2.581     0.03554
1.866     2.516     0.03389
1.867     2.365     0.03213
1.869     2.287     0.03090
1.871     2.206     0.02936
1.873     2.210     0.03048
1.874     2.188     0.02967
1.876     2.228     0.03021
1.878     2.280     0.03121
1.880     2.371     0.03226
1.882     2.442     0.03354
1.883     2.478     0.03423
1.885     2.630     0.03660
1.887     2.812     0.03955
1.889     3.008     0.04249
1.890     3.034     0.04387
1.892     3.110     0.04538
1.894     3.068     0.04516
1.896     3.055     0.04505
1.898     2.982     0.04375
1.899     3.012     0.04606
1.901     3.014     0.04629
1.903     3.160     0.04813
1.905     3.207     0.04804
1.907     3.200     0.04890
1.909     3.230     0.04920
1.911     3.120     0.04650
1.912     3.030     0.04611
1.914     3.016     0.04513
1.916     3.017     0.04519
1.918     2.891     0.04267
1.920     2.795     0.04288
1.921     2.655     0.03819
1.923     2.672     0.04066
1.925     2.571     0.03634
1.927     2.414     0.03514
1.929     2.449     0.03549
1.931     2.392     0.03471
1.933     2.357     0.03422
1.934     2.375     0.03423
1.936     2.484     0.03564
1.938     2.504     0.03646
1.940     2.586     0.03923
1.942     2.724     0.04077
1.944     2.914     0.04426
1.946     2.975     0.04547
1.948     2.940     0.04324
1.949     2.938     0.04400
1.951     2.796     0.04308
1.953     2.800     0.04087
1.955     2.533     0.03691
1.957     2.434     0.03523
1.959     2.386     0.03370
1.961     2.364     0.03345
1.963     2.433     0.03412
1.965     2.490     0.03509
1.966     2.595     0.03593
1.968     2.695     0.03945
1.970     2.744     0.03884
1.972     2.859     0.04033
1.974     2.840     0.03994
1.976     3.036     0.04205
1.978     3.113     0.04402
1.980     3.131     0.04594
1.982     3.154     0.05194
1.984     3.147     0.04622
1.986     2.999     0.04213
1.988     2.976     0.04276
1.990     2.818     0.04023
1.992     2.943     0.04317
1.993     2.934     0.04460
1.995     2.854     0.04399
1.997     2.887     0.04297
1.999     3.000     0.04522
2.001     2.887     0.04219
2.003     2.958     0.04387
2.005     2.834     0.04282
2.007     2.772     0.04117
2.009     2.793     0.04298
2.011     2.771     0.04402
2.013     2.832     0.04630
2.015     2.915     0.04593
2.017     2.853     0.04435
2.019     2.845     0.03906
