Literature data from W.P.Abfalterer 2001   
Natural C (n,tot)
MeV        barns        barns (error)
2.3525       1.5807    0.0094794 
2.3581       1.5918    0.0094247 
2.3638        1.571    0.0093202 
2.3695       1.5685    0.0092534 
2.3752       1.5713    0.0091581 
2.381       1.5876    0.0091956  
2.3867       1.5776    0.0090433 
2.3925       1.5818    0.0090356 
2.3983       1.5711    0.0089836 
2.4041       1.5664    0.0089179 
2.41        1.568    0.0088466  
2.4158       1.5917    0.0088617 
2.4217        1.589      0.00883 
2.4276       1.5836    0.0087806 
2.4336       1.5883    0.0087144 
2.4395       1.5803    0.0086157 
2.4455       1.5883    0.0085886 
2.4515       1.5823     0.008491 
2.4575       1.5674    0.0084072 
2.4635       1.5825     0.008389 
2.4696       1.5786    0.0083068 
2.4757       1.5785    0.0082682 
2.4818       1.5938    0.0082227 
2.4879       1.5936    0.0081843 
2.4941       1.5979    0.0081514 
2.5003       1.5748    0.0080361 
2.5064       1.5988    0.0080786 
2.5127       1.6242    0.0080993 
2.5189       1.6042    0.0079532 
2.5252       1.5922    0.0078719 
2.5315        1.599    0.0078163 
2.5378       1.6012     0.007751 
2.5441       1.6106    0.0077288 
2.5505       1.6074    0.0076692 
2.5569       1.5975    0.0076188 
2.5633       1.6142    0.0075927 
2.5697       1.6145    0.0075229 
2.5762       1.6312    0.0074965 
2.5827       1.6179      0.00744 
2.5892       1.6055    0.0073734 
2.5957       1.6294    0.0073417 
2.6023        1.632    0.0073066 
2.6089       1.6274    0.0072611 
2.6155       1.6607    0.0072842 
2.6221       1.6532    0.0072225 
2.6288       1.6626    0.0072038 
2.6354       1.6677    0.0071544 
2.6421       1.6626    0.0071174 
2.6489       1.6694     0.007065 
2.6556       1.6731    0.0070409 
2.6624       1.6902     0.007018 
2.6692        1.693    0.0070255 
2.6761       1.7026    0.0069812 
2.6829         1.72    0.0069923 
2.6898       1.7122    0.0069508 
2.6967       1.7073    0.0069325 
2.7037       1.7484    0.0069775 
2.7107       1.7479    0.0069287 
2.7177       1.7692     0.006925 
2.7247        1.786    0.0068993 
2.7318       1.7809    0.0068237 
2.7388       1.7939     0.006815 
2.7459       1.8112    0.0068031 
2.7531       1.8282    0.0068163 
2.7602       1.8608    0.0068642 
2.7674        1.859    0.0068448 
2.7747       1.8888    0.0068845 
2.7819       1.9022    0.0069267 
2.7892       1.9405    0.0069805 
2.7965       1.9833    0.0070455 
2.8038       2.0265    0.0071541 
2.8112       2.1273    0.0074059 
2.8186       2.2946    0.0078348 
2.826       2.1914    0.0075952  
2.8335        2.127     0.007485 
2.8409        2.136    0.0075303 
2.8484       2.1658    0.0076252 
2.856       2.2112    0.0077673  
2.8635       2.2726    0.0079745 
2.8712       2.3137     0.008121 
2.8788       2.3997     0.008416 
2.8865       2.4632    0.0086192 
2.8941       2.5485    0.0089302 
2.9019       2.6307    0.0092094 
2.9096       2.7427    0.0095836 
2.9174       2.8485    0.0099871 
2.9252       2.9585     0.010421 
2.9331       3.0141     0.010684 
2.9409       3.0378       0.0109 
2.9489       2.9594     0.010894 
2.9568       2.8268      0.01062 
2.9648        2.529    0.0096996 
2.9728       2.1541    0.0086176 
2.9808       1.8034    0.0077301 
2.9889       1.5106    0.0070621 
2.997       1.3262      0.00665  
3.001       1.4284     0.024995  
3.0033       1.4058     0.024881 
3.0056       1.3221     0.024146 
3.0079       1.3124     0.023809 
3.0102       1.2556      0.02358 
3.0125       1.2205     0.023203 
3.0148       1.2621     0.023092 
3.0171       1.2201      0.02283 
3.0195       1.2115     0.022474 
3.0218       1.2413     0.022779 
3.0241       1.2182     0.022668 
3.0265       1.2032     0.022468 
3.0288       1.1568     0.022168 
3.0311       1.2045     0.022411 
3.0335       1.2285     0.022265 
3.0358       1.1868     0.022216 
3.0382       1.2427     0.022392 
3.0405       1.3088     0.022686 
3.0429       1.2743      0.02261 
3.0452       1.2809     0.022619 
3.0476        1.291      0.02249 
3.0499       1.3176     0.022851 
3.0523       1.3304     0.022544 
3.0547        1.363     0.022897 
3.057       1.2928     0.022279  
3.0594       1.3285     0.022613 
3.0618       1.3157     0.022532 
3.0641       1.3645     0.022678 
3.0665       1.4349     0.023151 
3.0689       1.3256     0.022555 
3.0713       1.3975     0.022834 
3.0737       1.4332     0.023192 
3.0761       1.4503     0.023162 
3.0784       1.4063     0.023222 
3.0808       1.4836     0.023374 
3.0833       1.4555     0.023308 
3.0856       1.5368     0.023767 
3.088       1.4014     0.022939  
3.0905       1.5462     0.023446 
3.0929       1.5297     0.023607 
3.0953       1.5923     0.023297 
3.0977       1.5325     0.023533 
3.1001       1.4888     0.023136 
3.1025       1.5778     0.023909 
3.1049       1.5669     0.023664 
3.1074       1.5763     0.023321 
3.1098       1.6748     0.023877 
3.1122       1.6387     0.024124 
3.1147       1.6047     0.023544 
3.1171       1.6238     0.023701 
3.1195       1.6623     0.023723 
3.122       1.6649     0.023972  
3.1244       1.6897     0.024009 
3.1269       1.6686     0.023817 
3.1293       1.6863     0.023627 
3.1318       1.6686     0.023934 
3.1343       1.7093     0.023917 
3.1367       1.7502     0.024165 
3.1392        1.734     0.024182 
3.1416       1.7752     0.024313 
3.1441       1.7944     0.024284 
3.1466       1.7845     0.024435 
3.1491       1.7378     0.024023 
3.1515       1.7371     0.024204 
3.154       1.7702     0.024445  
3.1565       1.8164     0.024521 
3.159       1.7744     0.024187  
3.1615        1.819      0.02482 
3.164       1.8582     0.024707  
3.1665       1.8408     0.024595 
3.169       1.8397     0.024615  
3.1715        1.915     0.025093 
3.174        1.866     0.024778  
3.1765       1.8151     0.024735 
3.179       1.8188     0.024447  
3.1815       1.9317     0.025027 
3.184       1.9162     0.024887  
3.1865       1.9857     0.025788 
3.1891        1.963      0.02528 
3.1916       1.9599     0.025205 
3.1941       1.9267     0.025063 
3.1967       1.9646     0.025207 
3.1992       1.9525     0.025202 
3.2017       1.9995     0.025367 
3.2043       1.9722     0.025388 
3.2068       1.9802     0.025458 
3.2094       1.9305     0.025251 
3.2119       2.0182     0.025655 
3.2145       2.0529     0.025905 
3.217       2.0061     0.025796  
3.2196       1.9836     0.025296 
3.2221       2.0692     0.025979 
3.2247       2.0629     0.025889 
3.2273        2.029     0.025691 
3.2298       2.1062     0.026042 
3.2324       2.0418     0.025238 
3.235        2.104     0.026114  
3.2376       2.1102      0.02578 
3.2402       2.1445     0.026087 
3.2427       2.1175     0.025899 
3.2453       2.1004     0.025686 
3.2479       2.0957     0.025867 
3.2505       2.1192     0.025538 
3.2531       2.1981     0.026164 
3.2557       2.1724     0.025793 
3.2583       2.2207     0.025973 
3.2609       2.1472     0.025762 
3.2636        2.253     0.026248 
3.2662       2.2087     0.026105 
3.2688       2.1444     0.025437 
3.2714       2.2701     0.026397 
3.274       2.2146     0.026039  
3.2767       2.2761     0.026072 
3.2793       2.2396     0.026072 
3.2819       2.2339     0.025965 
3.2846       2.2241     0.025786 
3.2872       2.3058     0.026214 
3.2898       2.3027     0.026293 
3.2925       2.2452     0.026031 
3.2951       2.2779     0.026229 
3.2978       2.2819     0.026042 
3.3005       2.2772     0.025863 
3.3031       2.3166     0.025665 
3.3058       2.3743     0.026526 
3.3084       2.3434      0.02634 
3.3111       2.4293     0.026894 
3.3138       2.3529     0.026243 
3.3165       2.3588     0.026267 
3.3191       2.4048     0.026199 
3.3218        2.367     0.026022 
3.3245       2.3349     0.026012 
3.3272       2.4003     0.026483 
3.3299       2.3996     0.026345 
3.3326       2.4142     0.026722 
3.3353       2.3843     0.026256 
3.338       2.4254     0.026591  
3.3407        2.406     0.026372 
3.3434       2.3975      0.02634 
3.3461       2.3932     0.026392 
3.3488       2.4871     0.026755 
3.3515       2.4494     0.026486 
3.3542       2.4493       0.0263 
3.357       2.4643     0.026268  
3.3597       2.5124      0.02669 
3.3624       2.5047      0.02655 
3.3652        2.516     0.026603 
3.3679       2.5143     0.026457 
3.3707        2.533     0.026536 
3.3734       2.4954     0.026449 
3.3761       2.5046     0.026712 
3.3789       2.5126     0.026038 
3.3816       2.5616     0.026803 
3.3844       2.5186     0.026299 
3.3872       2.5815     0.026753 
3.3899       2.5854     0.026853 
3.3927       2.5805     0.026561 
3.3955       2.5993      0.02682 
3.3983       2.5923     0.026352 
3.401       2.5544      0.02624  
3.4038       2.5472     0.026426 
3.4066       2.5622     0.026226 
3.4094       2.5968     0.026575 
3.4122        2.575     0.026411 
