Literature data from W.P. Abfalterer (2001) [>5.293 MeV] and R.B.  Schwartz [< 5.293 MeV]
Natural Ni (n,tot)
MeV         Barns       Error(Barns)
193.7       1.135       0.003329     
195.7       1.129       0.00333      
197.6       1.128       0.003333     
199.6       1.119       0.003332     
201.6       1.116       0.003329     
203.6       1.11        0.003329     
205.7       1.108       0.003334     
207.7       1.106       0.003339     
209.8       1.099       0.003341     
211.9       1.095       0.003341     
214.1       1.093       0.003343     
216.2       1.088       0.003342     
218.4       1.084       0.003344     
220.6       1.081       0.003351     
222.8       1.08        0.003351     
225.1       1.078       0.003359     
227.3       1.072       0.003365     
229.6       1.073       0.00337      
231.9       1.07        0.003374     
234.2       1.064       0.003381     
236.6       1.065       0.003385     
239         1.065       0.003392     
241.4       1.061       0.003397     
243.8       1.062       0.003402     
246.2       1.059       0.003406     
248.7       1.059       0.003411     
251.2       1.058       0.00342      
253.7       1.056       0.003429     
256.3       1.058       0.00344      
258.9       1.057       0.003446     
261.5       1.055       0.003448     
264.1       1.049       0.003453     
266.8       1.05        0.003462     
269.4       1.049       0.00347      
272.1       1.051       0.003482     
274.9       1.049       0.003487     
277.6       1.049       0.003491     
280.4       1.049       0.003499     
283.3       1.05        0.003507     
286.1       1.047       0.003516     
289         1.049       0.003528     
291.9       1.05        0.003538     
294.8       1.047       0.00355      
297.8       1.049       0.003555     
300.8       1.052       0.003561     
303.8       1.052       0.003565     
306.8       1.055       0.003577     
309.9       1.057       0.003587     
313         1.058       0.003593     
316.2       1.058       0.003601     
319.4       1.061       0.003608     
322.6       1.063       0.00362      
325.8       1.063       0.003629     
329.1       1.068       0.003635     
332.4       1.064       0.003637     
335.7       1.062       0.003643     
339.1       1.061       0.003649     
342.5       1.065       0.003662     
346         1.068       0.003674     
349.4       1.07        0.003669     
353         1.067       0.003672     
356.5       1.068       0.003678     
360.1       1.071       0.003681     
363.7       1.078       0.003693     
367.4       1.08        0.003698     
371         1.081       0.003692     
374.8       1.08        0.003692     
378.5       1.081       0.003701     
382.3       1.083       0.003709     
386.2       1.087       0.003712     
390.1       1.087       0.003705     
394         1.084       0.003698     
398         1.087       0.003702     
402         1.091       0.003707     
406         1.092       0.003713     
410.1       1.092       0.003718     
414.2       1.097       0.00372      
418.4       1.097       0.003718     
422.6       1.103       0.003719     
426.8       1.105       0.003721     
431.1       1.106       0.003724     
435.4       1.113       0.003737     
439.8       1.113       0.003744     
444.2       1.114       0.003746     
448.7       1.117       0.003759     
453.2       1.124       0.003776     
457.8       1.125       0.003796     
462.4       1.128       0.003822     
467         1.134       0.003849     
471.7       1.137       0.003869     
476.4       1.137       0.003899     
481.2       1.135       0.003936     
486.1       1.138       0.003978     
490.9       1.142       0.004027     
495.9       1.148       0.004078     
500.9       1.156       0.01228      
505.9       1.161       0.01235      
511         1.167       0.01243      
516.1       1.174       0.01252      
521.3       1.169       0.01251      
526.5       1.165       0.01252      
531.8       1.17        0.0126       
537.2       1.175       0.0127       
542.6       1.18        0.01281      
548         1.182       0.01289      
553.5       1.185       0.01299      
559.1       1.187       0.01309      
