Literature data from J.A. Harvey et al (1991) (to 5.29 MeV); R.W. Finlay et al (1993) (>5.29 MeV)
NatN(n,tot)
MeV        Barns       Error (Barns)
1.9784     1.5836      0.011473 
1.9823     1.5784      0.011731 
1.9861     1.5642      0.011724 
1.9899     1.5899      0.011746 
1.9938     1.5584      0.01173  
1.9977     1.5706      0.011705 
2.0016     1.5587      0.011547 
2.0055     1.5644      0.011684 
2.0094     1.5388      0.011713 
2.0133     1.5487      0.011655 
2.0172     1.5663      0.011975 
2.0212     1.5524      0.011736 
2.0251     1.5555      0.012221 
2.0291     1.5449      0.012128 
2.0331     1.5154      0.011997 
2.0371     1.5229      0.012022 
2.0411     1.5346      0.012061 
2.0451     1.5332      0.011921 
2.0491     1.5359      0.01168  
2.0532     1.5247      0.011718 
2.0572     1.5188      0.011981 
2.0613     1.513       0.011969 
2.0653     1.5111      0.011778 
2.0694     1.5222      0.011508 
2.0735     1.5119      0.011035 
2.0776     1.4998      0.010526 
2.0818     1.4944      0.011245 
2.0859     1.5127      0.011619 
2.09       1.5154      0.011723 
2.0942     1.5194      0.011753 
2.0984     1.4878      0.011834 
2.1026     1.4898      0.011873 
2.1068     1.5192      0.012154 
2.111      1.4833      0.012216 
2.1152     1.5081      0.012232 
2.1194     1.5177      0.012394 
2.1237     1.5061      0.01213  
2.1279     1.5022      0.012109 
2.1322     1.5043      0.012203 
2.1365     1.4948      0.012149 
2.1408     1.5065      0.012204 
2.1451     1.4958      0.012191 
2.1494     1.5062      0.012263 
2.1538     1.5027      0.012332 
2.1572     1.4866      0.015879 
2.1599     1.4856      0.015753 
2.1625     1.4894      0.015795 
2.1651     1.511       0.015686 
2.1677     1.5333      0.016043 
2.1704     1.5433      0.016199 
2.173      1.5302      0.016139 
2.1757     1.5509      0.015806 
2.1783     1.5309      0.015867 
2.181      1.5551      0.01594  
2.1836     1.5833      0.016106 
2.1863     1.5465      0.016326 
2.189      1.5916      0.016157 
2.1916     1.6055      0.016111 
2.1943     1.6262      0.016149 
2.197      1.6374      0.016298 
2.1997     1.6521      0.016328 
2.2024     1.6928      0.016374 
2.2051     1.6842      0.01644  
2.2078     1.728       0.016927 
2.2105     1.7635      0.016636 
2.2132     1.7783      0.016392 
2.2159     1.7739      0.016382 
2.2186     1.8355      0.016326 
2.2214     1.8328      0.016482 
2.2241     1.8561      0.016585 
2.2268     1.8347      0.016973 
2.2296     1.8453      0.016934 
2.2323     1.8363      0.016885 
2.2351     1.8153      0.016529 
2.2378     1.7999      0.016384 
2.2406     1.7545      0.016526 
2.2434     1.7726      0.016497 
2.2462     1.7547      0.016357 
2.2489     1.7404      0.016587 
2.2517     1.7239      0.0165   
2.2545     1.7223      0.016196 
2.2573     1.6758      0.016396 
2.2601     1.6633      0.016327 
2.2629     1.6588      0.01647  
2.2657     1.6255      0.01668  
2.2685     1.5967      0.01665  
2.2714     1.617       0.016912 
2.2742     1.5874      0.016875 
2.277      1.573       0.016584 
2.2799     1.5727      0.016817 
2.2827     1.5973      0.016519 
2.2855     1.5537      0.016443 
2.2884     1.5703      0.016723 
2.2913     1.5236      0.016707 
2.2941     1.5299      0.016656 
2.297      1.556       0.016502 
2.2999     1.5506      0.016606 
2.3027     1.5222      0.016861 
2.3056     1.5396      0.016906 
2.3095     1.502       0.01321  
2.3143     1.4945      0.013091 
2.3192     1.4703      0.012941 
2.324      1.4912      0.012877 
2.3289     1.488       0.013147 
2.3338     1.477       0.013086 
2.3387     1.4793      0.013024 
2.3436     1.4475      0.01317  
2.3486     1.4497      0.013177 
2.3535     1.4743      0.012891 
2.3585     1.4568      0.012913 
2.3635     1.4632      0.012761 
2.3685     1.448       0.01301  
2.3735     1.4395      0.013095 
2.3786     1.4589      0.013106 
2.3836     1.4716      0.013293 
2.3887     1.4362      0.013512 
2.3938     1.4444      0.013073 
2.3989     1.4359      0.013421 
2.404      1.4587      0.013313 
2.4091     1.4339      0.013183 
2.4143     1.443       0.013476 
2.4194     1.413       0.013223 
2.4246     1.4325      0.013186 
2.4298     1.4156      0.01329  
2.435      1.4343      0.013509 
2.4403     1.4108      0.0137   
2.4455     1.4308      0.013742 
2.4508     1.4164      0.013623 
2.4561     1.4269      0.013491 
2.4614     1.4111      0.013815 
2.4667     1.4274      0.013827 
2.4696     1.4196      0.043211 
2.4702     1.4519      0.043155 
2.4707     1.425       0.042985 
2.4712     1.456       0.042844 
2.4718     1.4167      0.042987 
2.4723     1.42        0.042898 
2.4728     1.4292      0.042294 
2.4734     1.3904      0.042198 
2.4739     1.4474      0.04255  
2.4744     1.4334      0.042698 
2.475      1.417       0.043422 
2.4755     1.4501      0.043406 
2.476      1.6005      0.043646 
2.4766     1.6076      0.043652 
2.4771     1.5918      0.043703 
2.4776     1.5043      0.043802 
2.4782     1.462       0.043708 
2.4787     1.4558      0.043986 
2.4793     1.4272      0.043575 
2.4798     1.4246      0.044065 
2.4803     1.4147      0.043782 
2.4809     1.4778      0.044241 
2.4814     1.4353      0.044369 
2.4819     1.4404      0.044746 
2.4825     1.4528      0.04388  
2.4841     1.4119      0.019415 
2.4868     1.4082      0.019176 
2.4895     1.4153      0.019636 
2.4922     1.3989      0.019437 
2.4949     1.4048      0.019488 
2.4976     1.404       0.019539 
2.5003     1.4425      0.019632 
2.502      1.3794      0.04429  
2.5025     1.4105      0.044584 
2.503      1.4309      0.044164 
2.5036     1.4225      0.044376 
2.5041     1.4875      0.044251 
2.5047     1.4002      0.044281 
2.5052     1.3597      0.044153 
2.5058     1.4366      0.04408  
2.5063     1.5393      0.044294 
2.5069     1.4953      0.044233 
2.5074     1.642       0.044846 
2.508      1.5443      0.045439 
2.5085     1.6763      0.045125 
2.509      1.6767      0.045578 
2.5096     1.8209      0.045945 
2.5101     1.9246      0.045927 
2.5107     1.9559      0.046276 
2.5112     1.9755      0.045838 
2.5118     2.0027      0.045629 
2.5123     1.814       0.045426 
2.5129     1.8551      0.044957 
2.5134     1.5752      0.044853 
2.514      1.7041      0.044141 
2.5145     1.5875      0.044269 
2.5151     1.6051      0.043682 
2.5156     1.5524      0.044296 
2.5162     1.5159      0.044325 
2.5167     1.4472      0.04431  
2.5173     1.4412      0.044493 
2.5178     1.5565      0.044353 
2.5184     1.4316      0.044522 
2.5189     1.4117      0.044628 
2.5195     1.446       0.044489 
2.52       1.3958      0.044813 
2.5206     1.5268      0.044641 
2.5211     1.416       0.044675 
2.5217     1.3979      0.044937 
2.5222     1.5046      0.045047 
2.5228     1.4081      0.044803 
2.5233     1.4811      0.044926 
