Literature data from C. M. Perey (1993)
Ni-58 (n,tot)
MeV       Barns       Error(Barns)
3.493     3.9509      0.12979      
3.488     3.3128      0.12361      
3.482     3.4192      0.12582      
3.477     3.0354      0.12507      
3.472     3.4044      0.12558      
3.466     3.5844      0.12634      
3.461     3.5606      0.12749      
3.456     3.549       0.12891      
3.450     3.0885      0.12265      
3.445     3.1881      0.12457      
3.440     3.3833      0.12703      
3.435     3.5775      0.12518      
3.429     4.0195      0.12927      
3.424     2.4883      0.12122      
3.419     2.7503      0.12141      
3.414     2.9734      0.12319      
3.408     3.3923      0.12381      
3.403     3.051       0.12298      
3.398     3.8408      0.12735      
3.393     3.4141      0.12492      
3.388     3.1187      0.125        
3.383     4.0968      0.13018      
3.377     3.2297      0.12491      
3.372     3.3026      0.12425      
3.367     3.2905      0.12514      
3.362     3.4906      0.12447      
3.357     3.0925      0.12358      
3.352     2.9909      0.12424      
3.347     3.9572      0.12703      
3.342     3.2591      0.12445      
3.337     3.084       0.12284      
3.332     3.7833      0.12693      
3.327     4.0907      0.12705      
3.322     3.3492      0.12415      
3.317     3.2612      0.12221      
3.312     3.8543      0.12548      
3.307     3.0413      0.1231       
3.302     3.0863      0.12375      
3.297     3.3606      0.1244       
3.292     3.0982      0.12295      
3.287     3.5366      0.12525      
3.282     3.1245      0.12188      
3.277     2.9162      0.12136      
3.272     2.4352      0.11815      
3.267     3.6458      0.12635      
3.263     3.1534      0.12248      
3.258     3.2617      0.12451      
3.253     2.8886      0.12143      
3.248     3.4987      0.12404      
3.243     2.819       0.12098      
3.238     4.035       0.12588      
3.234     3.1025      0.12162      
3.229     3.2879      0.12335      
3.224     2.9278      0.12047      
3.219     3.0678      0.12228      
3.214     3.3146      0.12159      
3.210     3.7382      0.12581      
3.205     3.611       0.12362      
3.200     3.7855      0.12483      
3.196     3.1064      0.12134      
3.191     3.7949      0.12458      
3.186     2.8601      0.12037      
3.181     2.3823      0.11647      
3.176     2.7801      0.11706      
3.171     2.7667      0.11654      
3.167     3.2157      0.11936      
3.162     2.7791      0.11823      
3.157     3.2224      0.11888      
3.153     3.6146      0.12292      
3.148     3.4626      0.12182      
3.144     2.9124      0.1181       
3.139     3.3706      0.12156      
3.134     2.5398      0.11539      
3.130     3.2579      0.11941      
3.125     3.3211      0.12016      
3.121     2.8305      0.11843      
3.116     3.2245      0.12027      
3.112     3.1314      0.12012      
3.107     2.9843      0.1195       
3.103     2.4326      0.11677      
3.098     2.8387      0.11925      
3.094     2.987       0.12084      
3.089     3.4128      0.12063      
3.085     2.9299      0.11909      
3.080     2.5596      0.11716      
3.076     3.4294      0.12268      
3.071     3.0497      0.12037      
3.067     3.0953      0.11984      
3.062     3.4021      0.12147      
3.058     3.9687      0.12557      
3.053     2.7828      0.11946      
3.049     3.26        0.12195      
3.045     3.9539      0.12514      
3.040     2.7158      0.11882      
3.036     3.0162      0.11819      
3.032     2.8469      0.11899      
3.027     3.2092      0.12093      
3.023     2.7142      0.11717      
3.019     3.7154      0.12506      
3.014     3.4633      0.12136      
3.010     2.9947      0.11891      
3.006     4.249       0.12539      
3.001     3.2508      0.12138      
2.997     3.4705      0.1209       
2.992     2.9895      0.082938     
2.986     3.1063      0.1179       
2.982     3.5132      0.12014      
2.978     3.9751      0.12157      
2.974     4.9995      0.12705      
2.969     4.0812      0.12264      
2.965     3.1442      0.11457      
2.961     3.0922      0.11627      
2.957     2.8895      0.11558      
2.953     2.8614      0.11481      
2.948     2.3075      0.11105      
2.944     2.8087      0.11278      
2.940     3.6303      0.11607      
2.936     3.0032      0.11498      
2.932     2.7109      0.1122       
2.928     3.1338      0.11407      
2.923     3.3457      0.11594      
2.919     3.8896      0.11789      
2.915     3.9361      0.11862      
2.911     2.983       0.11453      
2.907     3.8513      0.11838      
2.903     3.2583      0.11232      
2.899     3.6493      0.11669      
2.895     3.6181      0.116        
2.891     3.438       0.11498      
2.887     2.5597      0.11103      
2.883     3.9179      0.11791      
2.879     3.2687      0.11411      
2.875     4.0591      0.11737      
2.871     4.4184      0.11904      
2.866     2.6426      0.11147      
2.862     2.9534      0.11322      
2.859     3.4496      0.11461      
2.855     3.5495      0.11564      
2.851     3.1319      0.11264      
2.847     2.7852      0.11081      
2.843     2.9439      0.11207      
2.839     2.5161      0.11098      
2.835     2.8017      0.11002      
2.831     3.3979      0.11494      
2.827     3.0714      0.11276      
2.823     4.0343      0.11704      
2.819     3.7932      0.11481      
2.815     3.7347      0.11414      
2.811     4.006       0.11612      
2.807     4.2721      0.11862      
2.803     3.2363      0.11168      
2.800     3.0584      0.11163      
2.796     2.6736      0.11061      
2.792     2.8922      0.11348      
2.788     3.8533      0.11722      
2.784     3.3388      0.1153       
2.780     2.7557      0.11114      
2.777     3.1184      0.11356      
2.773     4.0236      0.11854      
2.769     4.2719      0.1175       
2.765     3.048       0.11023      
2.761     3.2487      0.1119       
2.758     2.6198      0.10816      
2.754     2.8248      0.10861      
2.750     3.3845      0.1125       
2.746     3.8354      0.11388      
2.742     3.322       0.11212      
2.739     2.8976      0.11068      
2.735     3.6103      0.11338      
2.731     3.5786      0.11383      
2.728     3.7861      0.11564      
2.724     3.3552      0.11155      
2.720     3.2155      0.11027      
2.716     2.9878      0.10918      
2.713     2.6995      0.10718      
2.709     2.4065      0.10599      
2.705     2.7006      0.10998      
2.702     4.5827      0.11886      
2.698     2.5068      0.10646      
2.694     1.9444      0.10423      
2.691     3.227       0.1084       
2.687     3.3413      0.1102       
2.683     4.4941      0.11584      
2.680     2.5617      0.10503      
2.676     3.1881      0.10838      
2.673     2.16        0.10441      
2.669     3.0036      0.10742      
2.665     3.2757      0.10887      
2.662     3.4293      0.10772      
2.658     2.9194      0.10554      
2.655     4.4081      0.115        
2.651     2.3224      0.10253      
2.648     2.4222      0.10238      
2.644     2.8152      0.10324      
2.639     2.7711      0.059763     
2.633     3.2926      0.1052       
2.630     3.9349      0.10779      
2.626     3.0336      0.10389      
2.623     2.7561      0.10283      
2.619     3.6289      0.10785      
2.616     3.1928      0.10412      
2.612     4.1357      0.10987      
2.609     4.0132      0.10817      
2.605     3.0285      0.10247      
2.602     3.2168      0.10473      
2.598     2.2914      0.10029      
2.595     2.8627      0.10306      
2.592     2.6553      0.10255      
2.588     3.4644      0.10604      
2.585     3.8645      0.10708      
2.581     2.4483      0.10107      
2.578     2.9063      0.10339      
