#ZVView-data-copy:  10-Nov-2015 14:42:01
#=======================================
#
#name:   6-C-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2444
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       0.89903       2.7937     0.059279  # 2001,W.P.Abfalterer+     ## 13794002
       0.90036       2.6667     0.056984  # 2001,W.P.Abfalterer+     ## 13794002
        0.9017       2.7255     0.057537  # 2001,W.P.Abfalterer+     ## 13794002
       0.90304       2.6449     0.056425  # 2001,W.P.Abfalterer+     ## 13794002
       0.90438       2.6369     0.056601  # 2001,W.P.Abfalterer+     ## 13794002
       0.90573        2.704     0.057107  # 2001,W.P.Abfalterer+     ## 13794002
       0.90708       2.7108     0.056109  # 2001,W.P.Abfalterer+     ## 13794002
       0.90843         2.63     0.055822  # 2001,W.P.Abfalterer+     ## 13794002
       0.90978       2.7134     0.055495  # 2001,W.P.Abfalterer+     ## 13794002
       0.91114        2.649     0.055588  # 2001,W.P.Abfalterer+     ## 13794002
        0.9125       2.7429     0.057387  # 2001,W.P.Abfalterer+     ## 13794002
       0.91387       2.7274     0.055907  # 2001,W.P.Abfalterer+     ## 13794002
       0.91523       2.6024     0.054678  # 2001,W.P.Abfalterer+     ## 13794002
        0.9166       2.5891     0.054817  # 2001,W.P.Abfalterer+     ## 13794002
       0.91798       2.6424     0.055074  # 2001,W.P.Abfalterer+     ## 13794002
       0.91935       2.5962     0.054194  # 2001,W.P.Abfalterer+     ## 13794002
       0.92073       2.6001     0.054206  # 2001,W.P.Abfalterer+     ## 13794002
       0.92212       2.7055     0.054965  # 2001,W.P.Abfalterer+     ## 13794002
        0.9235       2.6698     0.054852  # 2001,W.P.Abfalterer+     ## 13794002
       0.92489       2.6462     0.054101  # 2001,W.P.Abfalterer+     ## 13794002
       0.92628       2.5915     0.052366  # 2001,W.P.Abfalterer+     ## 13794002
       0.92768       2.7829     0.054989  # 2001,W.P.Abfalterer+     ## 13794002
       0.92908       2.6867     0.055371  # 2001,W.P.Abfalterer+     ## 13794002
       0.93048       2.6284     0.053106  # 2001,W.P.Abfalterer+     ## 13794002
       0.93188       2.5261     0.050345  # 2001,W.P.Abfalterer+     ## 13794002
       0.93329       2.6308     0.053088  # 2001,W.P.Abfalterer+     ## 13794002
        0.9347       2.7125     0.054052  # 2001,W.P.Abfalterer+     ## 13794002
       0.93612       2.5266     0.050944  # 2001,W.P.Abfalterer+     ## 13794002
       0.93753       2.6507     0.053842  # 2001,W.P.Abfalterer+     ## 13794002
       0.93895       2.6114     0.053354  # 2001,W.P.Abfalterer+     ## 13794002
       0.94038       2.6115     0.051948  # 2001,W.P.Abfalterer+     ## 13794002
       0.94181       2.6311     0.049469  # 2001,W.P.Abfalterer+     ## 13794002
       0.94324       2.5507     0.049769  # 2001,W.P.Abfalterer+     ## 13794002
       0.94467       2.5311     0.049751  # 2001,W.P.Abfalterer+     ## 13794002
       0.94611       2.5741     0.050267  # 2001,W.P.Abfalterer+     ## 13794002
       0.94755        2.559     0.050585  # 2001,W.P.Abfalterer+     ## 13794002
       0.94899       2.6759     0.052102  # 2001,W.P.Abfalterer+     ## 13794002
       0.95044       2.5829     0.050152  # 2001,W.P.Abfalterer+     ## 13794002
       0.95189       2.5989      0.05052  # 2001,W.P.Abfalterer+     ## 13794002
       0.95334       2.6374     0.050116  # 2001,W.P.Abfalterer+     ## 13794002
        0.9548       2.5982     0.049932  # 2001,W.P.Abfalterer+     ## 13794002
       0.95626       2.5629     0.048985  # 2001,W.P.Abfalterer+     ## 13794002
       0.95772       2.6089     0.050143  # 2001,W.P.Abfalterer+     ## 13794002
       0.95919       2.6764     0.050697  # 2001,W.P.Abfalterer+     ## 13794002
       0.96066       2.6743      0.05017  # 2001,W.P.Abfalterer+     ## 13794002
       0.96213       2.4716     0.047924  # 2001,W.P.Abfalterer+     ## 13794002
       0.96361       2.5233     0.048873  # 2001,W.P.Abfalterer+     ## 13794002
       0.96509       2.6718     0.050622  # 2001,W.P.Abfalterer+     ## 13794002
       0.96657       2.5592     0.049126  # 2001,W.P.Abfalterer+     ## 13794002
       0.96806       2.5772     0.052072  # 2001,W.P.Abfalterer+     ## 13794002
       0.96955       2.5559     0.049328  # 2001,W.P.Abfalterer+     ## 13794002
       0.97105       2.7105     0.050789  # 2001,W.P.Abfalterer+     ## 13794002
       0.97254       2.6211     0.050086  # 2001,W.P.Abfalterer+     ## 13794002
       0.97404       2.5665     0.047913  # 2001,W.P.Abfalterer+     ## 13794002
       0.97555       2.5745     0.048437  # 2001,W.P.Abfalterer+     ## 13794002
       0.97706       2.6171     0.050342  # 2001,W.P.Abfalterer+     ## 13794002
       0.97857       2.5484       0.0478  # 2001,W.P.Abfalterer+     ## 13794002
       0.98008       2.5617     0.049532  # 2001,W.P.Abfalterer+     ## 13794002
        0.9816        2.598     0.050064  # 2001,W.P.Abfalterer+     ## 13794002
       0.98312       2.5939     0.049531  # 2001,W.P.Abfalterer+     ## 13794002
       0.98465        2.618     0.049941  # 2001,W.P.Abfalterer+     ## 13794002
       0.98618       2.5625      0.04877  # 2001,W.P.Abfalterer+     ## 13794002
       0.98771       2.5168      0.04981  # 2001,W.P.Abfalterer+     ## 13794002
       0.98925       2.5715     0.050469  # 2001,W.P.Abfalterer+     ## 13794002
       0.99079       2.5463     0.052039  # 2001,W.P.Abfalterer+     ## 13794002
       0.99233        2.519     0.049973  # 2001,W.P.Abfalterer+     ## 13794002
       0.99388       2.5271     0.049653  # 2001,W.P.Abfalterer+     ## 13794002
       0.99543       2.5019      0.05091  # 2001,W.P.Abfalterer+     ## 13794002
       0.99698       2.5407     0.051169  # 2001,W.P.Abfalterer+     ## 13794002
