Literature data from W.P.Poenitz (1983) & Finlay et. al (1993)
Natural Sn (n,tot)
MeV         cs(barns)   cs_error(barns) 
516.12       1.9962      0.02017
 521.3       2.0185      0.02043
526.54        2.008      0.02071
531.84       2.0188      0.02107
537.18       2.0215      0.02154
542.58       2.0314      0.02203
548.03       2.0145      0.02253
553.54       2.0092       0.0232
 559.1       2.0325      0.02382
564.72       2.0294      0.02452
 570.4       2.0261      0.02525
576.13       2.0219       0.0263
581.92       2.0293       0.0274
587.77        2.025      0.02842
593.68       2.0534      0.02967
599.64       2.0384        0.031
